amendment_indicator,amendment_indicator_desc,back_reference_schedule_id,back_reference_transaction_id,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,category_code,category_code_full,comm_dt,committee_id,conduit_committee_city,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,cycle,disbursement_amount,disbursement_date,disbursement_description,disbursement_purpose_category,disbursement_type,disbursement_type_description,election_type,election_type_full,entity_type,entity_type_desc,fec_election_type_desc,fec_election_year,file_number,filing_form,image_number,line_number,line_number_label,link_id,load_date,memo_code,memo_code_full,memo_text,memoed_subtotal,national_committee_nonfederal_account,original_sub_id,payee_employer,payee_first_name,payee_last_name,payee_middle_name,payee_occupation,payee_prefix,payee_suffix,pdf_url,recipient_city,recipient_committee,recipient_committee_id,recipient_name,recipient_state,recipient_zip,ref_disp_excess_flg,report_type,report_year,schedule_type,schedule_type_full,semi_annual_bundled_refund,sub_id,timestamp,transaction_id,two_year_transaction_period,unused_recipient_committee_id
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00401315,,,,,,,2008,500.0,2007-01-01T00:00:00,FINANCIAL CONSULTANT,OTHER,,,,,IND,INDIVIDUAL,,,285049,F3,27930607069,17,Operating Expenditures,4041620071076541842,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27930607069,THIBODAUX,,,"CLEMENT, TRUDY",LA,70301,,Q1,2007,SB,ITEMIZED DISBURSEMENTS,,4042620071076986268,2017-11-05T20:29:10.060320+00:00,SB17.4145,2008,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00401315,,,,,,,2008,500.0,2007-02-01T00:00:00,FINANCIAL CONSULTANT,OTHER,,,,,IND,INDIVIDUAL,,,285049,F3,27930607069,17,Operating Expenditures,4041620071076541842,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27930607069,THIBODAUX,,,"CLEMENT, TRUDY",LA,70301,,Q1,2007,SB,ITEMIZED DISBURSEMENTS,,4042620071076986269,2017-11-05T20:29:10.060320+00:00,SB17.4146,2008,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00401315,,,,,,,2008,500.0,2007-03-01T00:00:00,FINANCIAL CONSULTANT,OTHER,,,,,IND,INDIVIDUAL,,,285049,F3,27930607069,17,Operating Expenditures,4041620071076541842,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27930607069,THIBODAUX,,,"CLEMENT, TRUDY",LA,70301,,Q1,2007,SB,ITEMIZED DISBURSEMENTS,,4042620071076986270,2017-11-05T20:29:10.060320+00:00,SB17.4147,2008,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00401315,,,,,,,2008,500.0,2007-04-01T00:00:00,FINANCIAL CONSULTANT,OTHER,,,,,IND,INDIVIDUAL,,,295247,F3,27990269191,17,Operating Expenditures,4071620071078377179,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27990269191,THIBODAUX,,,"CLEMENT, TRUDY",LA,70301,,Q2,2007,SB,ITEMIZED DISBURSEMENTS,,4072320071078833829,2017-11-05T20:29:10.060320+00:00,SB17.4153,2008,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00401315,,,,,,,2008,500.0,2007-05-01T00:00:00,FINANCIAL CONSULTANT,OTHER,,,,,IND,INDIVIDUAL,,,295247,F3,27990269191,17,Operating Expenditures,4071620071078377179,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27990269191,THIBODAUX,,,"CLEMENT, TRUDY",LA,70301,,Q2,2007,SB,ITEMIZED DISBURSEMENTS,,4072320071078833830,2017-11-05T20:29:10.060320+00:00,SB17.4152,2008,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00401315,,,,,,,2008,500.0,2007-06-01T00:00:00,FINANCIAL CONSULTANT,OTHER,,,,,IND,INDIVIDUAL,,,295247,F3,27990269191,17,Operating Expenditures,4071620071078377179,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27990269191,THIBODAUX,,,"CLEMENT, TRUDY",LA,70301,,Q2,2007,SB,ITEMIZED DISBURSEMENTS,,4072320071078833831,2017-11-05T20:29:10.060320+00:00,SB17.4155,2008,
A,ADD,,,,,,,,,H,HOUSE,03,LA,LOUISIANA,,,001,Administrative/Salary/Overhead Expenses ,,C00401315,,,,,,,2008,500.0,2007-07-01T00:00:00,FINANCIAL CONSULTANT,OTHER,,,,,CCM,CAMPAIGN COMMITTEE,,,306744,F3,27990771810,17,Operating Expenditures,4101520071081251474,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27990771810,THIBODAUX,,,TAUZIN FOR CONGRESS,LA,70302,,Q3,2007,SB,ITEMIZED DISBURSEMENTS,,4101520071081302743,2017-11-05T20:29:10.060320+00:00,SB17.4162,2008,
A,ADD,,,,,,,,,,,,,,,,011,Political Contributions,,C00401315,,,,,,,2008,500.0,2007-07-01T00:00:00,DONATION,OTHER,,,,,ORG,ORGANIZATION,,,306744,F3,27990771811,21,Other Disbursements,4101520071081251474,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27990771811,BATON ROUGE,,,FRIENDS OF BOBBY JINDAL,LA,70884,,Q3,2007,SB,ITEMIZED DISBURSEMENTS,,4101520071081302744,2017-11-05T20:29:10.060320+00:00,SB21.4166,2008,
A,ADD,,,,,,,,,,,,,,,,011,Political Contributions,,C00401315,,,,,,,2008,500.0,2007-07-01T00:00:00,DONATION,OTHER,,,,,ORG,ORGANIZATION,,,306744,F3,27990771811,21,Other Disbursements,4101520071081251474,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27990771811,THIBODAUX,,,MICHAEL MATHERNE CAMPAIGN FUND,LA,70302,,Q3,2007,SB,ITEMIZED DISBURSEMENTS,,4101520071081302745,2017-11-05T20:29:10.060320+00:00,SB21.4168,2008,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00401315,,,,,,,2008,500.0,2007-08-01T00:00:00,FINANCIAL CONSULTANT,OTHER,,,,,IND,INDIVIDUAL,,,306744,F3,27990771810,17,Operating Expenditures,4101520071081251474,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27990771810,THIBODAUX,,,"CLEMENT, TRUDY",LA,70301,,Q3,2007,SB,ITEMIZED DISBURSEMENTS,,4101520071081302741,2017-11-05T20:29:10.060320+00:00,SB17.4163,2008,
