amendment_indicator,amendment_indicator_desc,back_reference_schedule_id,back_reference_transaction_id,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,category_code,category_code_full,comm_dt,committee_id,conduit_committee_city,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,cycle,disbursement_amount,disbursement_date,disbursement_description,disbursement_purpose_category,disbursement_type,disbursement_type_description,election_type,election_type_full,entity_type,entity_type_desc,fec_election_type_desc,fec_election_year,file_number,filing_form,image_number,line_number,line_number_label,link_id,load_date,memo_code,memo_code_full,memo_text,memoed_subtotal,national_committee_nonfederal_account,original_sub_id,payee_employer,payee_first_name,payee_last_name,payee_middle_name,payee_occupation,payee_prefix,payee_suffix,pdf_url,recipient_city,recipient_committee,recipient_committee_id,recipient_name,recipient_state,recipient_zip,ref_disp_excess_flg,report_type,report_year,schedule_type,schedule_type_full,semi_annual_bundled_refund,sub_id,timestamp,transaction_id,two_year_transaction_period,unused_recipient_committee_id
A,ADD,,,,,,,,,,,,,,,,,,,C00155796,,,,,,,2018,25.0,2017-03-10T00:00:00,CORPORATE TAX,OTHER,,,,,ORG,ORGANIZATION,,,1155337,F3,201704069052044405,17,Operating Expenditures,4040620171393255621,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?201704069052044405,COLUMBIA,,,S. C. DEPARTMENT OF REVENUE,SC,292140006,,Q1,2017,SB,ITEMIZED DISBURSEMENTS,0.0,4040820171397810843,2017-11-05T20:29:10.060320+00:00,SB17.28890,2018,
A,ADD,,,,,H8SC05174,,,,H,HOUSE,05,SC,SOUTH CAROLINA,,,,,,C00155796,,,,,,,2018,1000.0,2017-03-15T00:00:00,TRANSFER TO COMMITTEE,TRANSFERS,24G,TRANSFER OUT AFFILIATED,S2017,SPECIAL-GENERAL,CCM,CAMPAIGN COMMITTEE,SPECIAL,2017,1155337,F3,201704069052044406,18,Transfers to Other Authorized Committees,4040620171393255621,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?201704069052044406,SUMTER,"{'cycles': [2018], 'street_2': None, 'state': 'SC', 'organization_type': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'city': 'SUMTER', 'committee_type': 'H', 'committee_id': 'C00634709', 'committee_type_full': 'House', 'designation_full': 'Principal campaign committee', 'designation': 'P', 'candidate_ids': ['H8SC05174'], 'street_1': 'PO BOX 38', 'cycle': 2018, 'treasurer_name': 'MAY, JENNIFER', 'organization_type_full': None, 'state_full': 'South Carolina', 'zip': '29151', 'name': 'ARCHIE PARNELL FOR CONGRESS'}",C00634709,ARCHIE PARNELL FOR CONGRESS,SC,29151,,Q1,2017,SB,ITEMIZED DISBURSEMENTS,0.0,4040820171397810845,2017-11-05T20:29:10.060320+00:00,SB18.28888,2018,C00634709
A,ADD,,,,,,,,,,,,,,,,,,,C00155796,,,,,,,2018,1000.0,2017-05-22T00:00:00,TRANSFER OF CAMPAIGN FUNDS,OTHER,,,,,CCM,CAMPAIGN COMMITTEE,,,1169035,F3,201707109066575489,18,Transfers to Other Authorized Committees,4071020171418727599,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?201707109066575489,ROCK HILL,,,YORK COUNTY DEMOCRATIC PARTY,SC,29730,,Q2,2017,SB,ITEMIZED DISBURSEMENTS,0.0,4071120171418772511,2017-11-05T20:29:10.060320+00:00,SB18.28896,2018,
A,ADD,,,,,,,,,,,,,,,,,,,C00155796,,,,,,,2018,500.0,2017-05-22T00:00:00,CONTRIBUTION,OTHER,,,,,IND,INDIVIDUAL,,,1169035,F3,201707109066575490,21,Other Disbursements,4071020171418727599,2017-11-05T20:29:10.060320+00:00,,,,False,,,,ELIZABETH,CHORAK,,,MRS.,,http://docquery.fec.gov/cgi-bin/fecimg/?201707109066575490,ROCK HILL,,,"CHORAK, ELIZABETH MRS.",SC,29732,,Q2,2017,SB,ITEMIZED DISBURSEMENTS,0.0,4071120171418772513,2017-11-05T20:29:10.060320+00:00,SB21.28897,2018,
A,ADD,,,ARCHIE PARNELL FOR CONGRESS,,,,,,H,HOUSE,05,SC,SOUTH CAROLINA,,,011,Political Contributions,,C00155796,,,,,,,2018,1000.0,2017-06-13T00:00:00,CONTRIBUTION,CONTRIBUTIONS,24K,CONTRIBUTION MADE TO NON-AFFILIATED,S2017,SPECIAL-GENERAL,CCM,CAMPAIGN COMMITTEE,SPECIAL,2017,1169035,F3,201707109066575489,18,Transfers to Other Authorized Committees,4071020171418727599,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?201707109066575489,SUMTER,"{'cycles': [2018], 'street_2': None, 'state': 'SC', 'organization_type': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'city': 'SUMTER', 'committee_type': 'H', 'committee_id': 'C00634709', 'committee_type_full': 'House', 'designation_full': 'Principal campaign committee', 'designation': 'P', 'candidate_ids': ['H8SC05174'], 'street_1': 'PO BOX 38', 'cycle': 2018, 'treasurer_name': 'MAY, JENNIFER', 'organization_type_full': None, 'state_full': 'South Carolina', 'zip': '29151', 'name': 'ARCHIE PARNELL FOR CONGRESS'}",C00634709,ARCHIE PARNELL FOR CONGRESS,SC,29151,,Q2,2017,SB,ITEMIZED DISBURSEMENTS,0.0,4071120171418772509,2017-11-05T20:29:10.060320+00:00,SB18.28899,2018,C00634709
C,CHANGE,,,,,,,,,,,,,,,,,,,C00155796,,,,,,,2004,2700.0,2003-01-02T00:00:00,FUND RAISING,OTHER,,,,,IND,INDIVIDUAL,,,95957,F3,23991982342,17,Operating Expenditures,4092420031035286424,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?23991982342,FALLS CHURCH,,,FIORELLO CONSULTING,VA,22041,,Q1,2003,SB,ITEMIZED DISBURSEMENTS,,4092920031035410907,2017-11-05T20:29:10.060320+00:00,SB17.9339,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,,,,C00155796,,,,,,,2004,42.35,2003-01-02T00:00:00,SUPPLIES,OTHER,,,,,ORG,ORGANIZATION,,,95957,F3,23991982344,17,Operating Expenditures,4092420031035286424,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?23991982344,ROCK HILL,,,"INNOVATIVE COMPUTER SYSTEMS, INC.",SC,29730,,Q1,2003,SB,ITEMIZED DISBURSEMENTS,,4092920031035410911,2017-11-05T20:29:10.060320+00:00,SB17.9341,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,,,,C00155796,,,,,,,2004,100.0,2003-01-02T00:00:00,RENT,ADMINISTRATIVE,,,,,ORG,ORGANIZATION,,,95957,F3,23991982345,17,Operating Expenditures,4092420031035286424,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?23991982345,ROCK HILL,,,M H AND M PROPERTIES,SC,29730,,Q1,2003,SB,ITEMIZED DISBURSEMENTS,,4092920031035410914,2017-11-05T20:29:10.060320+00:00,SB17.9338,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,,,,C00155796,,,,,,,2004,1563.0,2003-01-02T00:00:00,STAFF COMPENSATION,MATERIALS,,,,,IND,INDIVIDUAL,,,95957,F3,23991982346,17,Operating Expenditures,4092420031035286424,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?23991982346,ROCK HILL,,,"PRESTO, JOHN ALAN  ",SC,29730,,Q1,2003,SB,ITEMIZED DISBURSEMENTS,,4092920031035410918,2017-11-05T20:29:10.060320+00:00,SB17.9340,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,,,,C00155796,,,,,,,2004,161.97,2003-01-03T00:00:00,TELEPHONE SERVICE,OTHER,,,,,ORG,ORGANIZATION,,,95957,F3,23991982341,17,Operating Expenditures,4092420031035286424,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?23991982341,ROCK HILL,,,COMPORIUM COMMUNICATIONS,SC,297317042,,Q1,2003,SB,ITEMIZED DISBURSEMENTS,,4092920031035410903,2017-11-05T20:29:10.060320+00:00,SB17.9342,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,,,,C00155796,,,,,,,2004,478.0,2003-01-06T00:00:00,FEDERAL WITHHOLDING,OTHER,,,,,ORG,ORGANIZATION,,,95957,F3,23991982339,17,Operating Expenditures,4092420031035286424,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?23991982339,YORK,,,BANK OF YORK,SC,29745,,Q1,2003,SB,ITEMIZED DISBURSEMENTS,,4092920031035410896,2017-11-05T20:29:10.060320+00:00,SB17.9345,2004,
N,NO CHANGE,,,,,,,,,,,,,,,,,,,C00155796,,,,,,,2004,112.0,2003-01-06T00:00:00,S. C. WITHHOLDING,OTHER,,,,,ORG,ORGANIZATION,,,95957,F3,23991982339,17,Operating Expenditures,4092420031035286424,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?23991982339,YORK,,,BANK OF YORK,SC,29745,,Q1,2003,SB,ITEMIZED DISBURSEMENTS,,4092920031035410897,2017-11-05T20:29:10.060320+00:00,SB17.9346,2004,
